filename,instrumentation(s),rtc_bad(s),rtc_good(s),ft_bad(s),ft_good(s),afl_input_bad(ms),afl_input_good(ms),cat_bad(ms),cat_good(ms)
cwe,filename,instrumentation(s),rtc_bad(s),rtc_good(s),ft_bad(s),ft_good(s),afl_input_bad(ms),afl_input_good(ms),cat_bad(ms),cat_good(ms)
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_04.c,1.2236,0.0012,0.0013,20.0113,20.0117,728,648,35,5
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_11.c,1.2035,0.0012,0.0013,20.0115,20.0113,524,392,31,1
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_15.c,1.2077,0.0012,0.0013,20.0110,20.0114,773,455,32,1
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_12.c,1.2012,0.0012,0.0013,20.0113,20.0124,501,415,30,1
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_22b.c,1.2214,0.0013,0.0013,20.0110,20.0115,479,380,29,1
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_45.c,1.2197,0.0012,0.0013,20.0110,20.0113,822,381,32,1
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_03.c,1.1697,0.0013,0.0013,20.0114,20.0113,525,405,29,2
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_06.c,1.2510,0.0012,0.0013,20.0112,20.0115,706,407,32,1
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_52c.c,1.2250,0.0013,0.0013,20.0111,20.0114,736,618,31,4
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_34.c,1.2136,0.0013,0.0013,20.0114,20.0115,856,432,35,2
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_14.c,1.2502,0.0012,0.0013,20.0113,20.0114,810,395,33,1
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_31.c,1.2123,0.0012,0.0014,20.0115,20.0114,500,434,29,2
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_02.c,1.2022,0.0013,0.0013,20.0111,20.0115,541,643,30,4
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_10.c,1.2427,0.0013,0.0013,20.0112,20.0116,793,648,33,4
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_13.c,1.2103,0.0012,0.0013,20.0110,20.0113,761,414,31,1
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_51b.c,1.1973,0.0012,0.0013,20.0113,20.0114,500,389,30,2
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_32.c,1.1987,0.0012,0.0013,20.0115,20.0115,463,645,29,3
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_05.c,1.2456,0.0013,0.0012,20.0110,20.0115,718,568,32,3
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_07.c,1.2148,0.0012,0.0014,20.0121,20.0117,481,406,30,2
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_16.c,1.2423,0.0012,0.0014,20.0111,20.0111,748,591,31,4
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_54e.c,1.1793,0.0012,0.0013,20.0112,20.0114,533,882,30,8
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_63b.c,1.2411,0.0013,0.0015,20.0131,20.0134,1504,987,32,1
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_63a.c,1.2433,0.0015,0.0014,20.0136,20.0130,1201,1052,28,1
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_64b.c,1.2185,0.0014,0.0015,20.0140,20.0132,1688,958,31,1
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_64a.c,1.2504,0.0014,0.0021,20.0125,20.0129,1290,975,29,1
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_66b.c,1.1877,0.0013,0.0019,20.0134,20.0137,1213,1531,29,5
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_66a.c,1.2360,0.0015,0.0015,20.0136,20.0146,1257,1056,29,1
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_67a.c,1.2455,0.0014,0.0014,20.0133,20.0138,1366,1449,29,4
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_multiply_67b.c,1.1949,0.0013,0.0020,20.0156,20.0140,1312,1008,28,1
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_01.c,1.2191,0.0017,0.0015,20.0138,20.0160,1431,1248,31,2
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_31.c,1.2361,0.0014,0.0015,20.0135,20.0137,1269,1850,29,8
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_15.c,1.2427,0.0013,0.0015,20.0132,20.0137,1422,1300,32,3
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_14.c,1.2286,0.0014,0.0014,20.0131,20.0131,1366,1185,31,3
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_22b.c,1.2166,0.0013,0.0014,20.0135,20.0156,1367,1766,31,9
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_13.c,1.2508,0.0015,0.0015,20.0120,20.0127,1531,1107,33,2
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_52a.c,1.2606,0.0014,0.0018,20.0138,20.0132,1576,1725,31,8
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_05.c,1.2635,0.0013,0.0014,20.0126,20.0133,1378,1114,30,2
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_22a.c,1.2331,0.0014,0.0017,20.0129,20.0138,2184,1566,41,3
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_08.c,1.2667,0.0013,0.0014,20.0133,20.0132,1219,1215,32,2
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_32.c,1.2473,0.0013,0.0015,20.0132,20.0134,1493,1774,31,6
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_54a.c,1.2209,0.0015,0.0015,20.0134,20.0148,1406,1831,31,8
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_17.c,1.2153,0.0015,0.0017,20.0129,20.0143,1354,1186,30,2
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_07.c,1.2561,0.0014,0.0014,20.0131,20.0132,1601,1227,32,3
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_45.c,1.2560,0.0015,0.0015,20.0130,20.0166,1438,1857,30,7
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_16.c,1.2233,0.0013,0.0015,20.0120,20.0140,1297,1226,30,2
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_12.c,1.2173,0.0013,0.0017,20.0122,20.0129,1319,1101,29,2
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_02.c,1.3081,0.0015,0.0017,20.0135,20.0136,1248,1209,30,3
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_34.c,1.2515,0.0015,0.0015,20.0135,20.0130,1528,1867,37,12
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_18.c,1.2848,0.0015,0.0015,20.0139,20.0134,1426,1250,30,2
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_52c.c,1.2051,0.0015,0.0014,20.0130,20.0129,1464,1804,31,9
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_10.c,1.2598,0.0014,0.0014,20.0126,20.0134,1497,1319,30,3
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_54e.c,1.2136,0.0013,0.0016,20.0136,20.0139,1401,1972,29,6
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_09.c,1.2182,0.0014,0.0014,20.0128,20.0134,1464,1121,32,2
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_04.c,1.2391,0.0015,0.0016,20.0132,20.0139,1303,1210,29,3
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_51a.c,1.2993,0.0015,0.0014,20.0127,20.0134,1547,1698,31,5
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_06.c,1.2851,0.0015,0.0014,20.0126,20.0134,1341,1133,29,2
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_42.c,1.2445,0.0014,0.0014,20.0130,20.0137,1434,1906,32,9
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_11.c,1.2488,0.0014,0.0015,20.0128,20.0131,1436,1114,30,2
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_03.c,1.2544,0.0014,0.0014,20.0130,20.0139,1544,1400,33,3
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_53d.c,1.2256,0.0013,0.0017,20.0130,20.0130,1576,1654,30,6
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_51b.c,1.2069,0.0013,0.0014,20.0127,20.0141,1329,1994,30,8
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_53a.c,1.2440,0.0013,0.0014,20.0139,20.0134,1572,1251,32,3
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_63a.c,1.2277,0.0015,0.0032,20.0128,20.0138,1445,1437,30,5
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_63b.c,1.2440,0.0016,0.0014,20.0126,20.0139,1330,1995,29,14
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_64b.c,1.2460,0.0013,0.0016,20.0126,20.0153,1419,1369,29,4
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_64a.c,1.2363,0.0017,0.0014,20.0124,20.0143,1552,1931,29,6
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_65b.c,1.2290,0.0014,0.0014,20.0134,20.0135,1476,1321,31,3
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_66b.c,1.2511,0.0013,0.0015,20.0137,20.0130,1257,2405,32,19
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_66a.c,1.2432,0.0017,0.0020,20.0138,20.0132,1500,1661,30,5
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_67a.c,1.2284,0.0016,0.0023,20.0126,20.0129,1539,1612,29,6
CWE190,CWE190_Integer_Overflow__unsigned_int_fscanf_square_67b.c,1.2475,0.0014,0.0016,20.0135,20.0125,1309,1724,29,4
CWE190,CWE190_Integer_Overflow__char_fscanf_square_01.c,1.2275,0.0014,0.0017,20.0134,20.0142,1095,1012,29,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_13.c,1.2838,0.0013,0.0017,20.0122,20.0140,1138,948,28,0
CWE190,CWE190_Integer_Overflow__char_fscanf_square_10.c,1.3196,0.0014,0.0013,20.0127,20.0154,1038,472,29,0
CWE190,CWE190_Integer_Overflow__char_fscanf_square_12.c,1.2304,0.0014,0.0016,20.0134,20.0145,1147,982,30,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_18.c,1.2172,0.0013,0.0018,20.0126,20.0131,1142,997,29,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_34.c,1.2535,0.0013,0.0015,20.0126,20.0136,902,697,30,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_15.c,1.2270,0.0015,0.0017,20.0134,20.0141,1161,1078,29,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_54d.c,1.2724,0.0020,0.0014,20.0132,20.0144,1188,954,28,2
CWE190,CWE190_Integer_Overflow__char_fscanf_square_52a.c,1.3488,0.0014,0.0015,20.0141,20.0140,1137,888,29,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_54a.c,1.2393,0.0018,0.0015,20.0135,20.0141,1115,1018,28,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_51a.c,1.3121,0.0019,0.0014,20.0133,20.0183,1146,893,28,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_08.c,1.3078,0.0016,0.0014,20.0128,20.0139,959,868,35,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_51b.c,1.2873,0.0014,0.0014,20.0145,20.0129,1206,936,34,2
CWE190,CWE190_Integer_Overflow__char_fscanf_square_52b.c,1.2980,0.0016,0.0014,20.0163,20.0146,1250,877,29,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_54b.c,1.3044,0.0015,0.0015,20.0141,20.0151,1176,957,30,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_41.c,1.2439,0.0016,0.0015,20.0140,20.0150,1118,901,30,2
CWE190,CWE190_Integer_Overflow__char_fscanf_square_42.c,1.2454,0.0019,0.0014,20.0150,20.0145,976,893,31,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_03.c,1.2735,0.0015,0.0014,20.0129,20.0136,1015,784,29,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_44.c,1.2148,0.0014,0.0016,20.0134,20.0141,1092,929,29,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_07.c,1.2920,0.0016,0.0015,20.0123,20.0128,968,801,28,2
CWE190,CWE190_Integer_Overflow__char_fscanf_square_22a.c,1.2995,0.0014,0.0015,20.0127,20.0148,1135,962,28,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_32.c,1.4288,0.0015,0.0015,20.0129,20.0145,1018,653,30,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_05.c,1.3035,0.0014,0.0014,20.0131,20.0131,978,879,30,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_52c.c,1.2504,0.0014,0.0014,20.0136,20.0136,1226,870,29,2
CWE190,CWE190_Integer_Overflow__char_fscanf_square_31.c,1.2310,0.0013,0.0016,20.0141,20.0144,996,401,34,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_02.c,1.2819,0.0014,0.0015,20.0135,20.0130,964,818,28,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_45.c,1.2529,0.0015,0.0015,20.0129,20.0144,1068,940,30,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_54c.c,1.3018,0.0015,0.0015,20.0140,20.0143,1150,959,29,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_11.c,1.3228,0.0013,0.0015,20.0140,20.0138,1256,1033,29,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_53c.c,1.2897,0.0015,0.0015,20.0195,20.0136,1157,852,30,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_17.c,1.2455,0.0017,0.0014,20.0134,20.0142,1127,886,30,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_21.c,1.2753,0.0017,0.0014,20.0137,20.0132,1164,902,30,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_14.c,1.2633,0.0014,0.0015,20.0135,20.0134,1180,935,29,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_09.c,1.2933,0.0014,0.0015,20.0136,20.0131,939,714,29,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_54e.c,1.2655,0.0017,0.0014,20.0138,20.0135,1240,891,29,2
CWE190,CWE190_Integer_Overflow__char_fscanf_square_04.c,1.2687,0.0015,0.0014,20.0130,20.0128,1032,827,29,2
CWE190,CWE190_Integer_Overflow__char_fscanf_square_22b.c,1.2701,0.0017,0.0017,20.0138,20.0137,1115,971,28,2
CWE190,CWE190_Integer_Overflow__char_fscanf_square_53a.c,1.3067,0.0014,0.0016,20.0125,20.0141,1017,863,29,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_53b.c,1.3086,0.0014,0.0014,20.0143,20.0147,1224,1069,29,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_06.c,1.3553,0.0015,0.0016,20.0130,20.0138,906,860,28,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_53d.c,1.2722,0.0019,0.0015,20.0157,20.0197,1134,1099,29,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_16.c,1.2294,0.0014,0.0015,20.0133,20.0134,1056,930,29,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_61a.c,2.8978,0.0015,0.0017,20.0127,20.0129,477,225,29,2
CWE190,CWE190_Integer_Overflow__char_fscanf_square_63b.c,1.2140,0.0013,0.0014,20.0128,20.0137,1101,949,28,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_63a.c,1.6133,0.0014,0.0015,20.0131,20.0129,1074,879,28,2
CWE190,CWE190_Integer_Overflow__char_fscanf_square_64b.c,1.2444,0.0014,0.0016,20.0141,20.0135,1072,836,29,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_64a.c,1.2209,0.0017,0.0013,20.0128,20.0136,1191,911,28,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_65a.c,1.2300,0.0014,0.0014,20.0133,20.0139,1240,923,27,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_65b.c,1.2381,0.0015,0.0016,20.0138,20.0125,1335,1045,29,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_66b.c,1.2142,0.0015,0.0013,20.0128,20.0138,1088,793,28,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_66a.c,1.2541,0.0018,0.0013,20.0140,20.0130,1051,1061,28,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_67b.c,1.2281,0.0013,0.0021,20.0129,20.0127,1188,910,28,1
CWE190,CWE190_Integer_Overflow__char_fscanf_square_67a.c,1.2314,0.0017,0.0015,20.0137,20.0141,1076,915,28,1
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_01.c,1.2219,0.0013,0.0019,20.0128,20.0141,1558,1229,34,5
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_45.c,1.2011,0.0014,0.0014,20.0143,20.0151,1500,1033,32,2
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_13.c,1.2127,0.0014,0.0015,20.0140,20.0140,1582,1289,31,3
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_44.c,1.2440,0.0018,0.0015,20.0148,20.0146,1474,1376,31,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_16.c,1.2007,0.0014,0.0014,20.0127,20.0153,1563,1191,32,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_52c.c,1.2497,0.0017,0.0017,20.0134,20.0136,1477,1628,31,8
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_41.c,1.2087,0.0013,0.0016,20.0139,20.0136,1634,1322,31,3
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_02.c,1.1996,0.0016,0.0014,20.0134,20.0127,1523,1239,31,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_06.c,1.2556,0.0026,0.0018,20.0125,20.0132,1576,1308,30,5
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_04.c,1.2428,0.0013,0.0016,20.0124,20.0130,1661,1327,32,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_53d.c,1.2042,0.0015,0.0014,20.0129,20.0143,1805,1268,33,3
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_31.c,1.2449,0.0014,0.0014,20.0141,20.0136,1673,1212,31,3
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_32.c,1.2423,0.0015,0.0016,20.0142,20.0135,1973,1314,33,3
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_22b.c,1.2043,0.0013,0.0014,20.0137,20.0146,1551,1271,30,3
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_54e.c,1.2485,0.0013,0.0018,20.0136,20.0147,1724,1331,33,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_08.c,1.2405,0.0014,0.0014,20.0138,20.0132,1622,1479,32,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_42.c,1.2374,0.0016,0.0014,20.0139,20.0146,1821,1234,32,2
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_09.c,1.2367,0.0017,0.0017,20.0142,20.0137,1752,1421,32,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_34.c,1.2312,0.0014,0.0017,20.0136,20.0142,1474,1462,37,3
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_15.c,1.2388,0.0019,0.0015,20.0150,20.0159,375,1494,28,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_05.c,1.2443,0.0018,0.0014,20.0201,20.0143,1449,1350,31,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_07.c,1.2556,0.0018,0.0023,20.0126,20.0132,1419,1354,31,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_11.c,1.2521,0.0014,0.0015,20.0135,20.0137,1456,1407,31,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_18.c,1.2229,0.0015,0.0014,20.0137,20.0144,1409,1385,40,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_12.c,1.2384,0.0014,0.0014,20.0124,20.0130,1577,1363,31,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_03.c,1.2375,0.0015,0.0014,20.0134,20.0150,1578,1273,32,3
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_51b.c,1.2225,0.0021,0.0014,20.0140,20.0141,1515,1410,30,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_21.c,1.2701,0.0014,0.0018,20.0142,20.0135,1435,1376,41,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_10.c,1.2631,0.0016,0.0016,20.0135,20.0134,1416,1271,30,3
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_14.c,1.2729,0.0018,0.0014,20.0124,20.0137,1643,1235,32,3
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_17.c,1.2401,0.0016,0.0014,20.0140,20.0146,1590,1429,31,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_63a.c,1.2167,0.0018,0.0014,20.0147,20.0141,1849,1254,34,3
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_63b.c,1.2257,0.0021,0.0016,20.0129,20.0145,2065,1248,33,3
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_64b.c,1.2638,0.0015,0.0016,20.0135,20.0146,1521,1733,31,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_64a.c,1.2205,0.0015,0.0014,20.0147,20.0140,1697,1505,33,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_65b.c,1.2140,0.0017,0.0014,20.0153,20.0137,1836,1338,32,3
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_66a.c,1.2352,0.0018,0.0015,20.0142,20.0138,2220,1402,37,2
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_66b.c,1.2345,0.0013,0.0016,20.0133,20.0133,1420,1388,32,3
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_67a.c,1.2385,0.0014,0.0014,20.0134,20.0137,1570,1196,31,3
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_add_67b.c,1.2290,0.0013,0.0015,20.0164,20.0139,1705,1370,32,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_01.c,1.2105,0.0015,0.0017,20.0156,20.0132,1607,1266,32,2
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_32.c,1.2472,0.0014,0.0014,20.0138,20.0142,1618,1434,32,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_17.c,1.1938,0.0015,0.0014,20.0142,20.0149,1672,1634,32,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_06.c,1.2673,0.0016,0.0015,20.0146,20.0199,1464,1371,30,3
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_14.c,1.2449,0.0014,0.0014,20.0141,20.0148,1522,1876,31,6
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_11.c,1.2408,0.0014,0.0016,20.0140,20.0135,1489,1424,31,5
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_51b.c,1.2302,0.0014,0.0016,20.0141,20.0151,1531,1318,31,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_44.c,1.2007,0.0014,0.0016,20.0143,20.0146,1496,1384,32,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_54a.c,1.3060,0.0014,0.0015,20.0160,20.0205,1511,1522,30,5
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_51a.c,1.2565,0.0015,0.0016,20.0138,20.0146,1477,1555,30,5
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_12.c,1.2314,0.0016,0.0016,20.0139,20.0151,1608,1265,31,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_07.c,1.2338,0.0014,0.0016,20.0152,20.0136,1626,1297,31,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_22a.c,1.2556,0.0014,0.0014,20.0144,20.0147,1904,1673,32,3
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_52c.c,1.1706,0.0014,0.0015,20.0146,20.0146,1455,1407,31,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_45.c,1.2021,0.0014,0.0014,20.0128,20.0138,1525,1078,29,1
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_15.c,1.2556,0.0014,0.0020,20.0145,20.0138,1554,1545,31,5
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_03.c,1.2349,0.0024,0.0016,20.0134,20.0143,1739,1409,33,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_02.c,1.2384,0.0013,0.0015,20.0147,20.0149,1780,1494,32,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_04.c,1.2351,0.0014,0.0016,20.0138,20.0151,1850,1420,30,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_08.c,1.2166,0.0018,0.0014,20.0151,20.0149,1604,1092,31,2
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_21.c,1.1837,0.0014,0.0016,20.0143,20.0152,1625,1361,30,3
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_53d.c,1.2348,0.0014,0.0016,20.0140,20.0140,1617,1419,30,5
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_53a.c,1.2276,0.0013,0.0015,20.0135,20.0153,1698,1366,31,5
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_18.c,1.2530,0.0014,0.0016,20.0143,20.0134,1583,1333,33,5
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_41.c,1.2142,0.0015,0.0014,20.0143,20.0147,1590,1480,30,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_52a.c,1.2549,0.0014,0.0018,20.0138,20.0136,1812,1177,34,2
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_09.c,1.2449,0.0019,0.0015,20.0153,20.0139,2001,1545,38,3
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_31.c,1.2381,0.0015,0.0015,20.0167,20.0145,1652,1513,31,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_10.c,1.2284,0.0015,0.0015,20.0145,20.0141,1572,1368,31,2
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_13.c,1.2385,0.0013,0.0016,20.0140,20.0141,1534,1534,31,4
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_16.c,1.2303,0.0017,0.0025,20.0144,20.0143,1628,1430,32,5
CWE190,CWE190_Integer_Overflow__int64_t_fscanf_multiply_05.c,1.2580,0.0020,0.0015,20.0143,20.0142,1548,1480,33,6
